"pages","dividcommentstextprecedingsiblingprecedingsiblingh21textselftext","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1text1selftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1textselftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1textselftext","","","","","","","","","","","","","","","","","","","","","","","","",""
"20.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
"26.html","Infortunio domestico in un'abitazione di Udine. La donna � precipitata da un'altezza di 3 metri","Infortunio","","Infortunio","","domestico in un'","dove la badante, nel tentativo di recuperare la biancheria intima che aveva steso poco prima - i panni erano finiti su alcune lastre di plexiglass - � caduta di sotto, precipitando per 3 metri.","","","","","","","","","","","","","","","","","","","","","","","",""
"37.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"33.html","Sabato 10 e domenica 11 agosto torna l'appuntamento con il Festival di arte per strada","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a","Fraser Hooper","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a",", il clown neozelandese, vincitore di numerosi premi in tutto il mondo","Festeggia 10 anni",". Un?edizione, la decima, che vuole celebrare il festival nato due lustri fa dal genio creativo dell?associazione culturale","(s�, quella della popolare serie dedicata a vizi e virt� dei friulani raccontati in chiave comico-satirica). Tra gli ospiti",".","Art tal ort 2019 proporr� una trentina di appuntamenti spalmati su due giorni anche per quest?anno realizzati grazie al Comune di Fagagna, alla Regione, alla Fondazione Friuli, alla Comunit� collinare e a numerosi sponsor privati.","","","","","","","","","","","","","","","","","","","","",""
"39.html","Causa maltempo, slitta da domani a sabato l'atteso appuntamento di No Borders. Cambia anche la location, i Laghi di Fusine","venerd� 2 agosto","","venerd� 2 agosto","","Originariamente previsto per la giornata di","sull?",", a causa delle avverse condizioni meteo previste il concerto speciale di","per il ?","? viene posticipato a","(inizio ore 12, ingresso gratuito). Si intitola","l?atto unico ideato dal cantautore, ri-trovatore e immaginatore appositamente per la celebre rassegna musicale organizzata nel comprensorio del Tarvisiano, al confine tra Italia, Austria e Slovenia.","","","","","","","","","","","","","","","","","","",""
"8.html","Via libera al cantiere di sistemazione, grazie a un accordo tra Comune e privato","Sacile","","Sacile","","A",", l?","sar� sistemato. A dirlo � l'assessore comunale alle opere pubbliche e viabilit�",". "L?operazione non si � rivelata cos� semplice. Il progetto doveva ottenere il nulla osta di Fvg Strade. In funzione delle previsioni che riguardano la statale a est dell?abitato sacilese, � stato chiesto uno studio complessivo, che facesse sintesi di tutte le istanze. Procedure che sono state portate avanti, senza titubanze, sia dalla mia amministrazione sia da quella attuale guidata dal sindaco","", spiega Ceraolo.","","","","","","","","","","","","","","","","","","","","",""
"10.html","Sabato 10 e domenica 11 agosto torna l'appuntamento con il Festival di arte per strada","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a","Fraser Hooper","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a",", il clown neozelandese, vincitore di numerosi premi in tutto il mondo","Festeggia 10 anni",". Un?edizione, la decima, che vuole celebrare il festival nato due lustri fa dal genio creativo dell?associazione culturale","(s�, quella della popolare serie dedicata a vizi e virt� dei friulani raccontati in chiave comico-satirica). Tra gli ospiti",".","Art tal ort 2019 proporr� una trentina di appuntamenti spalmati su due giorni anche per quest?anno realizzati grazie al Comune di Fagagna, alla Regione, alla Fondazione Friuli, alla Comunit� collinare e a numerosi sponsor privati.","","","","","","","","","","","","","","","","","","","","",""
"36.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"5.html","C?� tempo fino a luned� 5 agosto per coloro che entro lo scorso 30 aprile hanno aderito alla definizione agevolata e devono procedere con il primo pagamento","","","","","Ancora cinque giorni a disposizione dei contribuenti che entro il 31 luglio 2019 dovevano pagare la prima rata della cosiddetta rottamazione-ter delle cartelle. C?� tempo fino a luned� 5 agosto, infatti, per coloro che entro lo scorso 30 aprile hanno aderito alla definizione agevolata e devono procedere con il primo pagamento previsto dal piano di rateizzazione scelto in fase di adesione. � quanto prevede la Legge n. 136/2018 che ha introdotto la possibilit� di pagare con un lieve ritardo e senza oneri aggiuntivi.","Per il versamento si deve utilizzare il bollettino Rav con scadenza 31 luglio inviato nelle scorse settimane da Agenzia delle entrate-Riscossione insieme al piano complessivo dei pagamenti (si pu� richiedere la copia sul sito  Il mancato, insufficiente o tardivo pagamento della rata, oltre la tolleranza di cinque giorni prevista per legge, determina l?inefficacia della definizione agevolata, il debito non potr� essere pi� rateizzato e l?agente della riscossione dovr� riprendere, come previsto dalla legge, le azioni di recupero.","A tale proposito, si ricorda che secondo quanto stabilito dal Decreto Crescita (DL n. 34/2019), che ha riaperto i termini per aderire alla ?rottamazione-ter? e al ?saldo e stralcio? fino allo scorso 31 luglio, le cartelle o avvisi gi� ammessi al pagamento agevolato non potevano essere nuovamente inseriti in una dichiarazione di adesione. Pertanto, per non perdere i benefici della pace fiscale, � necessario saldare la prima rata del piano dei pagamenti anche per eventuali debiti che, erroneamente, siano stati inseriti in una nuova domanda di adesione.","Ieri, dunque, si � chiusa definitivamente la finestra per i ritardatari che volevano presentare all?Agenzia delle entrate-Riscossione le istanze per la ?rottamazione-ter? e il ?saldo e stralcio?. In questo caso si tratta di una scadenza perentoria, fissata dal cosiddetto decreto Crescita che aveva riaperto i termini per dare un altro mese di tempo ai contribuenti che non avevano ancora aderito. Le domande presentate nel mese di luglio, ancora in fase di lavorazione negli uffici di Agenzia delle entrate-Riscossione, si aggiungeranno alle circa 1,7 milioni presentate entro il 30 aprile scorso, portando il totale a superare il tetto di 2 milioni di domande complessive per i due provvedimenti agevolativi.","� possibile pagare le rate della ?rottamazione-ter? presso la propria banca, agli sportelli bancomat (ATM) abilitati ai servizi di pagamento Cbill, con il proprio internet banking, agli uffici postali, nei tabaccai aderenti a Banca 5 SpA e tramite i circuiti Sisal e Lottomatica, agli sportelli di Agenzia delle entrate-Riscossione, sul portale  e con l'App Equiclick tramite la piattaforma PagoPa. Infine, � possibile pagare mediante compensazione con i crediti commerciali non prescritti, certi liquidi ed esigibili (c.d. crediti certificati) maturati per somministrazioni, forniture, appalti e servizi nei confronti della Pubblica Amministrazione.","Chi ha scelto di versare le somme dovute in un?unica soluzione, chiuder� la definizione agevolata con il primo pagamento. Per gli altri, invece, la legge ha concesso la possibilit� di ripartire quanto dovuto in un massimo di 18 rate che, dopo quella di luglio, sono fissate a novembre 2019 e poi febbraio, maggio, luglio e novembre di ogni anno a partire dal 2020.","Sul portale  sono disponibili alcuni servizi web a supporto dei contribuenti. Nelle pagine dedicata alla Definizione agevolata, � possibile chiedere una copia della ?Comunicazione delle somme dovute?, la lettera di risposta gi� inviata dall?agente della riscossione con l?esito della richiesta, gli importi da pagare e i bollettini Rav da utilizzare al momento del versamento delle rate. Il servizio, riservato a chi avesse smarrito la Comunicazione, � disponibile in area pubblica, senza necessit� di pin e password, compilando la scheda ?Richiesta comunicazione? e allegando un documento di riconoscimento. Nell?area riservata del sito, accedendo con le credenziali personali, � possibile scaricarla direttamente.","Il servizio ?ContiTu?, invece, consente di scegliere online di pagare in via agevolata soltanto alcuni degli avvisi/cartelle contenuti nella "Comunicazione delle somme dovute". Il servizio calcoler� il nuovo totale e l?importo di ciascuna rata. Dopo aver confermato la scelta, Agenzia delle entrate-Riscossione invier� all?indirizzo email indicato dal contribuente i nuovi bollettini RAV con cui sar� possibile effettuare il pagamento entro le scadenze previste. Le cartelle e gli avvisi contenuti nella domanda presentata e per i quali il contribuente sceglie di non aderire alla definizione agevolata, non potranno essere rateizzati e Agenzia delle entrate-Riscossione dovr� riprendere, come previsto dalla legge, le azioni di recupero.","","","","","","","","","","","","","","","","","",""
"35.html","Sabato 10 e domenica 11 agosto torna l'appuntamento con il Festival di arte per strada","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a","Fraser Hooper","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a",", il clown neozelandese, vincitore di numerosi premi in tutto il mondo","Festeggia 10 anni",". Un?edizione, la decima, che vuole celebrare il festival nato due lustri fa dal genio creativo dell?associazione culturale","(s�, quella della popolare serie dedicata a vizi e virt� dei friulani raccontati in chiave comico-satirica). Tra gli ospiti",".","Art tal ort 2019 proporr� una trentina di appuntamenti spalmati su due giorni anche per quest?anno realizzati grazie al Comune di Fagagna, alla Regione, alla Fondazione Friuli, alla Comunit� collinare e a numerosi sponsor privati.","","","","","","","","","","","","","","","","","","","","",""
"38.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"32.html","Un 21enne � stato fermato e multato dalla Polizia locale di Trieste. Era ?recidivo?","auto del pap�","","auto del pap�","","Era al volante dell?",", ma",". Nei guai un",", fermato nei giorni scorsi dalla","in Borgo Teresiano. Dalla verifica tramite banca dati � emerso che il giovane era gi� stato pizzicato altre volte al volante. Pesante la sanzione: il codice della strada, infatti, prevede una multa di 5.110 euro e il fermo del veicolo per tre mesi. Sanzionato anche il padre (398 euro), per avergli incautamente affidato il veicolo.","","","","","","","","","","","","","","","","","","","","",""
"21.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
"40.html","Causa maltempo, slitta da domani a sabato l'atteso appuntamento di No Borders. Cambia anche la location, i Laghi di Fusine","venerd� 2 agosto","","venerd� 2 agosto","","Originariamente previsto per la giornata di","sull?",", a causa delle avverse condizioni meteo previste il concerto speciale di","per il ?","? viene posticipato a","(inizio ore 12, ingresso gratuito). Si intitola","l?atto unico ideato dal cantautore, ri-trovatore e immaginatore appositamente per la celebre rassegna musicale organizzata nel comprensorio del Tarvisiano, al confine tra Italia, Austria e Slovenia.","","","","","","","","","","","","","","","","","","",""
"24.html","Gi� oggi si sono verificati numerosi incidenti in A4 e lunghe code. Da venerd� 2 a domenica 4 agosto traffico intenso su tutta la rete, in particolare in direzione del confine","Il primo weekend di agosto sar� il pi� trafficato dell?anno sulla rete autostradale gestita da Autovie Venete","","Il primo weekend di agosto sar� il pi� trafficato dell?anno sulla rete autostradale gestita da Autovie Venete","","L?esodo estivo entra nella fase pi� calda.",". Sono, infatti, due le giornate caratterizzate da",", ovvero",". In realt�, gi� oggi,",", in direzione",". Ai transiti dei mezzi pesanti che rientrano nei paesi dell?Est Europa, tipici del gioved�, si aggiungono i flussi di veicoli leggeri che partono per le vacanze.","Un mix che sta mettendo a",". Fin dal mattino infatti si sono registrate","che poi pian piano si sono estese",". Una",", non hanno avuto conseguenze per le persone, ma hanno contribuito a congestionare ulteriormente la viabilit�. L?ultimo ha coinvolto",". Sul posto sono intervenuti il personale di Autovie Venete, la Polizia Stradale, il 118 e i soccorsi meccanici. Attualmente -",". La situazione si manterr� sostanzialmente inalterata fino a questa sera.","Ancora pi� elevati i flussi attesi per domani",". Per quanto riguarda",", sole e caldo favoriranno, come sempre, gli",", gi� dalle prime ore del mattino, ma a prendere d?assalto il litorale saranno anche i vacanzieri provenienti da Austria e Germania che transiteranno lungo la A23 Tarvisio ? Palmanova per poi proseguire o verso le spiagge friulane e veneto o verso la Slovenia e la Croazia.","in particolare alla barriera di Lisert, in uscita.",". La concessionaria ha potenziato la presenza del personale ai caselli per velocizzare i transiti: complessivamente saranno 110 gli esattori ? suddivisi nei tre turni della giornata - presenti su tutta la rete.","Probabili",".",", Villesse ? Gorizia.","?",", in entrambe le direzioni, con possibili congestioni in uscita alla barriera di Trieste Lisert e ai caselli delle localit� di mare. Traffico sostenuto anche in A57 in entrambe le direzioni.",", in questo fine settimana, � stato esteso","dalle 16,00 alle 22,00, mentre sabato 3 i tir non potranno circolare dalle 08 alle 22 e domenica 4 agosto dalle 7 alle 22."
"9.html","Donata all'ospedale infantile una nuova attrezzatura d?avanguardia per l?anestesia","importante donazione di oltre 32mila euro","","importante donazione di oltre 32mila euro","","Una nuova workstation per anestesia acquistata grazie a un?","della","e di","che permetter� all?","di implementare le dotazioni delle apparecchiature in un settore strategico, � stata al centro dell?incontro fra la dirigenza del Burlo, il presidente della societ� velica Barcola Grignano e il direttore marketing di Despar, durante il quale sono stati illustrati gli utilizzi dei nuovi macchinari.","","","","","","","","","","","","","","","","","","","","",""
"6.html","Due ragazze incinte, una all'ottavo mese, sono state fermate dalla Polizia di Stato. Per loro il foglio di via dalla citt�","Due donne incinte","","Due donne incinte","",", una all?ottavo mese, sono state fermate dalla Polizia di Stato di Pordenone e indagate a piede libero per il tentato furto in un?abitazione della citt�. Le due, nella mattinata di ieri, erano state notate da una pattuglia della Squadra Volante nella zona di via Vallona mentre si allontanavano con fare sospetto da un condominio.","","","","","","","","","","","","","","","","","","","","","","","","",""
"43.html","La 19enne si � aggiudicata ieri sera la selezione in diretta dagli studi di Telefriuli","Nicol Reia","","Nicol Reia","",", 19 anni di Trieste si � aggiudicata ieri sera, al termine di uno spettacolo televisivo in diretta su","il titolo regionale di ?","? conquistando cos� l?accesso alle ?prefinali nazionali? di ?Miss Italia?.","","","","","","","","","","","","","","","","","","","","","","",""
"27.html","A Spilimbergo, un uomo rimasto ferito in maniera seria lungo lo scivolo del cortile","Spilimbergo","","Spilimbergo","","Stavano spingendo l'auto in avaria sullo scivolo all'interno di un cortile privato, ma uno di loro � stato travolto dal veicolo. � successo questa mattina a",", dove un uomo � rimasto ferito in maniera seria, anche se non sarebbe in pericolo di vita.","","","","","","","","","","","","","","","","","","","","","","","",""
"19.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
